SampleID	drug	Timepoint	OHT	Batch	replicate	group
S59816	Budesonide	2	OFF	1	1	Budesonide_2
S59817	Budesonide	2	OFF	1	2	Budesonide_2
S59818	Budesonide	2	OFF	1	3	Budesonide_2
S59819	Budesonide	2	OFF	1	4	Budesonide_2
S59820	Budesonide	2	ON	1	1	Budesonide_2_OHT
S59821	Budesonide	2	ON	1	2	Budesonide_2_OHT
S59822	Budesonide	2	ON	1	3	Budesonide_2_OHT
S59823	Budesonide	2	ON	1	4	Budesonide_2_OHT
S59832	Budesonide	4	OFF	1	1	Budesonide_4
S59833	Budesonide	4	OFF	1	2	Budesonide_4
S59834	Budesonide	4	OFF	1	3	Budesonide_4
S59835	Budesonide	4	OFF	1	4	Budesonide_4
S59836	Budesonide	4	ON	1	1	Budesonide_4_OHT
S59837	Budesonide	4	ON	1	2	Budesonide_4_OHT
S59838	Budesonide	4	ON	1	3	Budesonide_4_OHT
S59839	Budesonide	4	ON	1	4	Budesonide_4_OHT
S59848	Budesonide	8	OFF	1	1	Budesonide_8
S59849	Budesonide	8	OFF	1	2	Budesonide_8
S59850	Budesonide	8	OFF	1	3	Budesonide_8
S59851	Budesonide	8	OFF	1	4	Budesonide_8
S59852	Budesonide	8	ON	1	1	Budesonide_8_OHT
S59853	Budesonide	8	ON	1	2	Budesonide_8_OHT
S59854	Budesonide	8	ON	1	3	Budesonide_8_OHT
S59855	Budesonide	8	ON	1	4	Budesonide_8_OHT
S59864	Budesonide	16	OFF	1	1	Budesonide_16
S59865	Budesonide	16	OFF	1	2	Budesonide_16
S59866	Budesonide	16	OFF	1	3	Budesonide_16
S59867	Budesonide	16	OFF	1	4	Budesonide_16
S59868	Budesonide	16	ON	1	1	Budesonide_16_OHT
S59869	Budesonide	16	ON	1	2	Budesonide_16_OHT
S59870	Budesonide	16	ON	1	3	Budesonide_16_OHT
S59871	Budesonide	16	ON	1	4	Budesonide_16_OHT
S59808	DMSO	0	OFF	1	1	DMSO
S59809	DMSO	0	OFF	1	2	DMSO
S59810	DMSO	0	OFF	1	3	DMSO
S59811	DMSO	0	OFF	1	4	DMSO
S59812	DMSO	0	ON	1	1	DMSO_OHT
S59813	DMSO	0	ON	1	2	DMSO_OHT
S59814	DMSO	0	ON	1	3	DMSO_OHT
S59815	DMSO	0	ON	1	4	DMSO_OHT
S62930	DMSO	0	OFF	2	1	DMSO
S62931	DMSO	0	OFF	2	2	DMSO
S62932	DMSO	0	OFF	2	3	DMSO
S62933	DMSO	0	OFF	2	4	DMSO
S62934	DMSO	0	ON	2	1	DMSO_OHT
S62935	DMSO	0	ON	2	2	DMSO_OHT
S62936	DMSO	0	ON	2	3	DMSO_OHT
S62937	DMSO	0	ON	2	4	DMSO_OHT
S59824	Prednisolone	2	OFF	1	1	Prednisolone_2
S59825	Prednisolone	2	OFF	1	2	Prednisolone_2
S59826	Prednisolone	2	OFF	1	3	Prednisolone_2
S59827	Prednisolone	2	OFF	1	4	Prednisolone_2
S59828	Prednisolone	2	ON	1	1	Prednisolone_2_OHT
S59829	Prednisolone	2	ON	1	2	Prednisolone_2_OHT
S59830	Prednisolone	2	ON	1	3	Prednisolone_2_OHT
S59831	Prednisolone	2	ON	1	4	Prednisolone_2_OHT
S59840	Prednisolone	4	OFF	1	1	Prednisolone_4
S59841	Prednisolone	4	OFF	1	2	Prednisolone_4
S59842	Prednisolone	4	OFF	1	3	Prednisolone_4
S59843	Prednisolone	4	OFF	1	4	Prednisolone_4
S59844	Prednisolone	4	ON	1	1	Prednisolone_4_OHT
S59845	Prednisolone	4	ON	1	2	Prednisolone_4_OHT
S59846	Prednisolone	4	ON	1	3	Prednisolone_4_OHT
S59847	Prednisolone	4	ON	1	4	Prednisolone_4_OHT
S59856	Prednisolone	8	OFF	1	1	Prednisolone_8
S59857	Prednisolone	8	OFF	1	2	Prednisolone_8
S59858	Prednisolone	8	OFF	1	3	Prednisolone_8
S59859	Prednisolone	8	OFF	1	4	Prednisolone_8
S59860	Prednisolone	8	ON	1	1	Prednisolone_8_OHT
S59861	Prednisolone	8	ON	1	2	Prednisolone_8_OHT
S59862	Prednisolone	8	ON	1	3	Prednisolone_8_OHT
S59863	Prednisolone	8	ON	1	4	Prednisolone_8_OHT
S62946	Prednisolone	16	OFF	2	1	Prednisolone_16
S62947	Prednisolone	16	OFF	2	2	Prednisolone_16
S63025	Prednisolone	16	OFF	2	3	Prednisolone_16
S62949	Prednisolone	16	OFF	2	4	Prednisolone_16
S62950	Prednisolone	16	ON	2	1	Prednisolone_16_OHT
S62951	Prednisolone	16	ON	2	2	Prednisolone_16_OHT
S62952	Prednisolone	16	ON	2	3	Prednisolone_16_OHT
S62953	Prednisolone	16	ON	2	4	Prednisolone_16_OHT
